"class","user","day","time_of_day","client","true_time","user_estimate"
"short","Tom","Wednesday","Afternoon","Tyrell",3,11
"short","Evelyn","Monday","Morning","Tyrell",10,86
"short","Evelyn","Friday","Afternoon","OCP Inc.",10,6
"short","Evelyn","Friday","Afternoon","Cyberdyne Systems",5,9
"short","Jim","Monday","Lunchtime","OCP Inc.",5,4
"short","Evelyn","Thursday","Lunchtime","Tyrell",12,7
"short","Tom","Wednesday","Lunchtime","Weyland-Yutani",2,5
"short","Evelyn","Wednesday","Afternoon","Cyberdyne Systems",13,8
"long","Evelyn","Monday","Morning","OCP Inc.",108,79
"short","Yvette","Monday","Afternoon","Cyberdyne Systems",11,6
"short","Jim","Friday","Morning","Mooby's Family Restaurants",1,10
"long","Yvette","Tuesday","Morning","Mooby's Family Restaurants",110,101
"short","Jim","Thursday","Lunchtime","Cyberdyne Systems",7,13
"short","Cindy","Wednesday","Afternoon","Mooby's Family Restaurants",12,8
"short","Tom","Monday","Afternoon","Weyland-Yutani",7,9
"long","Cindy","Monday","Morning","Mooby's Family Restaurants",74,104
"short","Yvette","Wednesday","Afternoon","Tyrell",7,11
"short","Evelyn","Monday","Afternoon","OCP Inc.",8,7
"short","Tom","Wednesday","Lunchtime","OCP Inc.",5,5
"long","Yvette","Monday","Afternoon","Cyberdyne Systems",83,123
"short","Jim","Monday","Afternoon","Tyrell",8,4
"short","Tom","Thursday","Morning","Weyland-Yutani",4,8
"short","Tom","Wednesday","Morning","Cyberdyne Systems",8,6
"short","Tom","Friday","Lunchtime","OCP Inc.",4,7
"long","Cindy","Thursday","Morning","Mooby's Family Restaurants",99,3
"short","Cindy","Wednesday","Afternoon","Mooby's Family Restaurants",10,10
"short","Tom","Friday","Lunchtime","OCP Inc.",11,9
"short","Tom","Wednesday","Afternoon","Cyberdyne Systems",5,83
"long","Yvette","Monday","Morning","Mooby's Family Restaurants",110,78
"short","Cindy","Tuesday","Morning","Tyrell",8,7
"short","Yvette","Monday","Afternoon","OCP Inc.",12,84
"short","Yvette","Thursday","Lunchtime","Tyrell",6,10
"short","Cindy","Monday","Morning","Cyberdyne Systems",7,7
"short","Tom","Tuesday","Afternoon","OCP Inc.",4,1
"long","Evelyn","Tuesday","Morning","Weyland-Yutani",79,113
"short","Evelyn","Tuesday","Morning","Mooby's Family Restaurants",10,10
"short","Jim","Thursday","Morning","Mooby's Family Restaurants",5,7
"short","Tom","Thursday","Morning","Mooby's Family Restaurants",6,14
"short","Tom","Wednesday","Morning","Weyland-Yutani",6,1
"short","Evelyn","Friday","Morning","Cyberdyne Systems",7,2
"short","Cindy","Friday","Afternoon","Weyland-Yutani",10,10
"short","Yvette","Tuesday","Morning","Tyrell",13,14
"long","Jim","Monday","Lunchtime","Weyland-Yutani",114,87
"short","Cindy","Wednesday","Lunchtime","Weyland-Yutani",4,5
"short","Yvette","Monday","Lunchtime","OCP Inc.",15,12
"short","Jim","Thursday","Lunchtime","Weyland-Yutani",19,9
"short","Evelyn","Wednesday","Morning","Cyberdyne Systems",1,4
"short","Jim","Monday","Lunchtime","Tyrell",9,4
"long","Jim","Monday","Afternoon","Cyberdyne Systems",102,117
"short","Yvette","Friday","Morning","Tyrell",7,12
"short","Evelyn","Monday","Morning","Weyland-Yutani",2,8
"short","Yvette","Wednesday","Afternoon","Cyberdyne Systems",15,6
"short","Cindy","Wednesday","Morning","Weyland-Yutani",7,7
"long","Tom","Thursday","Lunchtime","Tyrell",87,128
"short","Jim","Monday","Lunchtime","OCP Inc.",8,9
"short","Tom","Wednesday","Lunchtime","Weyland-Yutani",10,18
"long","Jim","Tuesday","Morning","Tyrell",108,83
"short","Evelyn","Wednesday","Afternoon","Tyrell",9,15
"long","Evelyn","Thursday","Morning","Tyrell",109,92
"short","Yvette","Wednesday","Afternoon","Cyberdyne Systems",1,3
"short","Jim","Friday","Afternoon","Weyland-Yutani",8,11
"long","Jim","Friday","Afternoon","Tyrell",94,89
"long","Cindy","Friday","Morning","Cyberdyne Systems",84,83
"long","Yvette","Friday","Morning","Tyrell",123,70
"short","Jim","Wednesday","Lunchtime","Tyrell",5,15
"short","Yvette","Friday","Afternoon","Cyberdyne Systems",13,9
"long","Tom","Friday","Morning","OCP Inc.",110,9
"short","Cindy","Tuesday","Lunchtime","OCP Inc.",7,4
"short","Jim","Wednesday","Afternoon","Tyrell",4,2
"long","Jim","Thursday","Lunchtime","Weyland-Yutani",97,10
"short","Yvette","Friday","Afternoon","Cyberdyne Systems",8,121
"long","Jim","Monday","Afternoon","Mooby's Family Restaurants",84,122
"short","Jim","Monday","Afternoon","Weyland-Yutani",3,7
"short","Jim","Friday","Morning","Weyland-Yutani",6,9
"short","Cindy","Friday","Lunchtime","Weyland-Yutani",10,8
"short","Tom","Wednesday","Lunchtime","Mooby's Family Restaurants",8,105
"short","Evelyn","Monday","Morning","Cyberdyne Systems",2,1
"short","Tom","Wednesday","Morning","Weyland-Yutani",13,4
"short","Evelyn","Monday","Morning","Cyberdyne Systems",6,1
"short","Yvette","Wednesday","Morning","Weyland-Yutani",4,4
"short","Cindy","Friday","Lunchtime","Tyrell",10,15
"short","Tom","Thursday","Morning","Tyrell",6,5
"short","Jim","Thursday","Lunchtime","Tyrell",8,5
"long","Evelyn","Friday","Afternoon","Mooby's Family Restaurants",101,78
"short","Evelyn","Tuesday","Lunchtime","Weyland-Yutani",6,15
"short","Yvette","Monday","Morning","Cyberdyne Systems",12,7
"long","Yvette","Thursday","Morning","Mooby's Family Restaurants",94,98
"long","Yvette","Monday","Lunchtime","Weyland-Yutani",96,96
"short","Yvette","Monday","Lunchtime","Cyberdyne Systems",6,6
"short","Yvette","Thursday","Lunchtime","Tyrell",14,10
"long","Evelyn","Monday","Afternoon","Weyland-Yutani",98,115
"long","Jim","Thursday","Morning","OCP Inc.",81,95
"short","Jim","Monday","Lunchtime","Mooby's Family Restaurants",10,4
"short","Evelyn","Thursday","Afternoon","Cyberdyne Systems",12,11
"short","Yvette","Tuesday","Afternoon","Cyberdyne Systems",9,8
"short","Evelyn","Tuesday","Afternoon","Tyrell",9,8
"short","Jim","Wednesday","Morning","Cyberdyne Systems",14,4
"short","Jim","Friday","Lunchtime","Mooby's Family Restaurants",9,3
"short","Jim","Thursday","Morning","Cyberdyne Systems",4,6
"short","Yvette","Tuesday","Lunchtime","Mooby's Family Restaurants",10,14
"short","Cindy","Friday","Lunchtime","Weyland-Yutani",8,4
"long","Yvette","Thursday","Lunchtime","OCP Inc.",98,74
"short","Evelyn","Tuesday","Lunchtime","Weyland-Yutani",8,8
"short","Cindy","Tuesday","Afternoon","OCP Inc.",4,4
"short","Evelyn","Tuesday","Morning","OCP Inc.",11,1
"short","Yvette","Friday","Lunchtime","Tyrell",19,2
"long","Yvette","Friday","Afternoon","OCP Inc.",111,102
"short","Cindy","Monday","Lunchtime","Mooby's Family Restaurants",11,8
"short","Jim","Monday","Morning","Weyland-Yutani",12,9
"short","Yvette","Wednesday","Lunchtime","Tyrell",10,15
"short","Yvette","Wednesday","Afternoon","Cyberdyne Systems",2,9
"short","Yvette","Wednesday","Afternoon","Weyland-Yutani",15,10
"short","Cindy","Friday","Morning","OCP Inc.",15,9
"short","Jim","Monday","Afternoon","OCP Inc.",4,11
"short","Tom","Wednesday","Lunchtime","Tyrell",7,11
"short","Yvette","Tuesday","Lunchtime","Cyberdyne Systems",1,6
"short","Cindy","Friday","Lunchtime","Cyberdyne Systems",12,7
"long","Evelyn","Wednesday","Morning","Weyland-Yutani",98,89
"short","Tom","Wednesday","Afternoon","Tyrell",10,104
"short","Cindy","Friday","Morning","Mooby's Family Restaurants",3,9
"short","Yvette","Friday","Afternoon","Tyrell",6,4
"short","Tom","Friday","Lunchtime","Tyrell",11,1
"short","Yvette","Tuesday","Morning","Weyland-Yutani",7,13
"short","Tom","Tuesday","Morning","Mooby's Family Restaurants",6,10
"short","Yvette","Thursday","Morning","OCP Inc.",16,8
"short","Evelyn","Tuesday","Morning","Tyrell",3,4
"long","Tom","Wednesday","Morning","Weyland-Yutani",110,16
"short","Yvette","Friday","Morning","Tyrell",8,12
"short","Cindy","Monday","Lunchtime","OCP Inc.",12,16
"short","Yvette","Wednesday","Lunchtime","Weyland-Yutani",4,10
"short","Evelyn","Friday","Morning","Mooby's Family Restaurants",6,1
"short","Evelyn","Tuesday","Morning","OCP Inc.",7,106
"short","Cindy","Tuesday","Morning","Tyrell",8,6
"long","Tom","Monday","Afternoon","OCP Inc.",122,70
"short","Jim","Monday","Lunchtime","OCP Inc.",4,13
"short","Yvette","Tuesday","Lunchtime","Cyberdyne Systems",3,9
"short","Tom","Monday","Afternoon","Cyberdyne Systems",7,10
"short","Jim","Thursday","Lunchtime","Tyrell",13,9
"short","Evelyn","Thursday","Lunchtime","Tyrell",2,7
"short","Tom","Thursday","Morning","Tyrell",6,5
"short","Cindy","Thursday","Morning","Mooby's Family Restaurants",5,7
"short","Tom","Tuesday","Afternoon","Cyberdyne Systems",4,98
"long","Jim","Monday","Afternoon","Cyberdyne Systems",104,108
"short","Cindy","Friday","Lunchtime","Tyrell",4,7
"short","Tom","Thursday","Morning","Weyland-Yutani",2,3
"short","Yvette","Wednesday","Lunchtime","Cyberdyne Systems",4,12
"long","Cindy","Tuesday","Afternoon","Cyberdyne Systems",97,9
"short","Yvette","Monday","Morning","OCP Inc.",11,5
"short","Cindy","Wednesday","Afternoon","Tyrell",5,9
"short","Evelyn","Wednesday","Lunchtime","OCP Inc.",12,98
"short","Jim","Thursday","Afternoon","Cyberdyne Systems",3,19
"long","Cindy","Tuesday","Morning","Weyland-Yutani",88,10
"long","Tom","Thursday","Lunchtime","OCP Inc.",107,68
"short","Evelyn","Tuesday","Morning","Mooby's Family Restaurants",14,5
"long","Yvette","Wednesday","Afternoon","Tyrell",95,111
"long","Jim","Friday","Morning","OCP Inc.",90,92
"short","Cindy","Friday","Morning","OCP Inc.",12,11
"short","Tom","Tuesday","Lunchtime","Weyland-Yutani",6,7
"short","Tom","Thursday","Afternoon","Mooby's Family Restaurants",5,18
"long","Tom","Wednesday","Morning","Cyberdyne Systems",63,53
"short","Cindy","Monday","Afternoon","Mooby's Family Restaurants",4,6
"short","Tom","Friday","Afternoon","OCP Inc.",11,5
"short","Yvette","Thursday","Afternoon","Weyland-Yutani",3,11
"short","Evelyn","Friday","Afternoon","Cyberdyne Systems",4,10
"short","Evelyn","Monday","Lunchtime","Weyland-Yutani",1,4
"short","Yvette","Friday","Lunchtime","OCP Inc.",8,3
"long","Cindy","Monday","Morning","Cyberdyne Systems",111,135
"short","Cindy","Wednesday","Morning","Cyberdyne Systems",3,14
"short","Yvette","Monday","Morning","Weyland-Yutani",8,12
"short","Evelyn","Friday","Afternoon","Tyrell",11,10
"short","Tom","Tuesday","Afternoon","OCP Inc.",10,12
"short","Yvette","Monday","Afternoon","Weyland-Yutani",8,1
"short","Tom","Monday","Morning","OCP Inc.",11,1
"short","Jim","Monday","Lunchtime","Cyberdyne Systems",7,1
"short","Tom","Monday","Afternoon","Cyberdyne Systems",11,7
"long","Jim","Tuesday","Morning","Mooby's Family Restaurants",116,97
"long","Tom","Friday","Afternoon","Weyland-Yutani",141,113
"short","Yvette","Thursday","Lunchtime","Weyland-Yutani",6,1
"short","Jim","Tuesday","Morning","Weyland-Yutani",11,5
"short","Jim","Wednesday","Lunchtime","Tyrell",8,7
"long","Jim","Monday","Morning","Mooby's Family Restaurants",117,100
"short","Evelyn","Wednesday","Morning","OCP Inc.",3,9
"short","Tom","Thursday","Lunchtime","Tyrell",10,6
"short","Cindy","Thursday","Lunchtime","Weyland-Yutani",10,1
"long","Evelyn","Tuesday","Morning","Tyrell",96,99
"short","Jim","Thursday","Lunchtime","OCP Inc.",13,6
"short","Tom","Tuesday","Lunchtime","Weyland-Yutani",11,9
"short","Yvette","Friday","Afternoon","Tyrell",4,7
"short","Cindy","Thursday","Lunchtime","OCP Inc.",1,11
"short","Jim","Monday","Morning","Cyberdyne Systems",4,17
"short","Jim","Tuesday","Afternoon","Cyberdyne Systems",15,10
"short","Evelyn","Thursday","Afternoon","OCP Inc.",13,4
"short","Cindy","Tuesday","Afternoon","Cyberdyne Systems",4,8
"short","Jim","Tuesday","Morning","Weyland-Yutani",6,5
"short","Cindy","Wednesday","Lunchtime","Tyrell",11,5
"short","Tom","Thursday","Afternoon","Tyrell",11,8
"short","Yvette","Monday","Lunchtime","Tyrell",5,92
"short","Jim","Friday","Lunchtime","OCP Inc.",6,10
"short","Jim","Thursday","Morning","Mooby's Family Restaurants",3,13
"short","Yvette","Friday","Morning","Tyrell",3,10
"short","Yvette","Tuesday","Lunchtime","Mooby's Family Restaurants",5,13
"short","Yvette","Monday","Afternoon","Weyland-Yutani",4,8
"long","Tom","Wednesday","Morning","Cyberdyne Systems",77,102
"short","Cindy","Wednesday","Afternoon","Cyberdyne Systems",15,7
"short","Evelyn","Thursday","Afternoon","Cyberdyne Systems",4,8
"short","Jim","Tuesday","Lunchtime","OCP Inc.",12,13
"short","Yvette","Monday","Morning","OCP Inc.",12,13
"short","Yvette","Monday","Morning","OCP Inc.",6,7
"short","Evelyn","Friday","Lunchtime","Mooby's Family Restaurants",10,10
"short","Tom","Monday","Morning","Mooby's Family Restaurants",11,4
"short","Cindy","Monday","Lunchtime","Tyrell",8,12
"short","Cindy","Friday","Lunchtime","Mooby's Family Restaurants",12,2
"short","Evelyn","Monday","Morning","Mooby's Family Restaurants",10,8
"short","Jim","Thursday","Morning","Tyrell",18,7
"short","Tom","Tuesday","Lunchtime","Tyrell",8,3
"short","Jim","Monday","Afternoon","Weyland-Yutani",15,2
"short","Evelyn","Friday","Afternoon","Weyland-Yutani",12,8
"long","Evelyn","Friday","Morning","Tyrell",97,83
"long","Jim","Friday","Lunchtime","Weyland-Yutani",93,99
"long","Yvette","Thursday","Lunchtime","Tyrell",94,87
"short","Yvette","Wednesday","Morning","Weyland-Yutani",13,9
"short","Yvette","Wednesday","Afternoon","Cyberdyne Systems",10,17
"long","Tom","Tuesday","Afternoon","Tyrell",83,82
"short","Cindy","Friday","Afternoon","Tyrell",3,14
"short","Cindy","Friday","Morning","Cyberdyne Systems",13,5
"short","Tom","Friday","Morning","Weyland-Yutani",9,5
"short","Evelyn","Friday","Morning","Tyrell",5,4
"short","Yvette","Tuesday","Afternoon","Cyberdyne Systems",10,1
"short","Tom","Thursday","Morning","OCP Inc.",6,8
"short","Yvette","Wednesday","Lunchtime","Tyrell",7,10
"short","Cindy","Thursday","Morning","Weyland-Yutani",9,17
"long","Yvette","Friday","Afternoon","Tyrell",97,107
"short","Jim","Monday","Lunchtime","Cyberdyne Systems",9,11
"short","Cindy","Tuesday","Lunchtime","Weyland-Yutani",8,7
"long","Evelyn","Tuesday","Morning","Mooby's Family Restaurants",100,90
"short","Cindy","Friday","Afternoon","OCP Inc.",3,5
"short","Evelyn","Friday","Morning","OCP Inc.",11,72
"short","Cindy","Wednesday","Morning","Weyland-Yutani",8,95
"short","Jim","Thursday","Morning","Tyrell",13,119
"long","Tom","Wednesday","Lunchtime","OCP Inc.",115,105
"short","Evelyn","Tuesday","Morning","OCP Inc.",6,13
"long","Jim","Tuesday","Morning","Tyrell",121,75
"short","Evelyn","Thursday","Afternoon","Cyberdyne Systems",8,8
"short","Yvette","Tuesday","Lunchtime","Cyberdyne Systems",1,2
"short","Cindy","Tuesday","Lunchtime","Tyrell",10,9
"long","Cindy","Wednesday","Morning","Tyrell",114,128
"short","Evelyn","Monday","Afternoon","Mooby's Family Restaurants",7,74
"long","Tom","Thursday","Afternoon","OCP Inc.",114,68
"short","Evelyn","Thursday","Morning","Weyland-Yutani",6,2
"short","Cindy","Monday","Morning","Cyberdyne Systems",9,11
"short","Yvette","Wednesday","Lunchtime","Weyland-Yutani",7,8
"short","Cindy","Wednesday","Afternoon","OCP Inc.",10,15
"long","Jim","Thursday","Afternoon","Cyberdyne Systems",94,110
"short","Cindy","Monday","Morning","Weyland-Yutani",8,10
"long","Cindy","Friday","Afternoon","OCP Inc.",113,95
"long","Jim","Tuesday","Lunchtime","Mooby's Family Restaurants",140,105
"long","Jim","Wednesday","Morning","OCP Inc.",98,107
"short","Evelyn","Tuesday","Afternoon","Weyland-Yutani",11,2
"short","Tom","Monday","Morning","Weyland-Yutani",4,7
"short","Tom","Wednesday","Afternoon","Weyland-Yutani",3,5
"long","Yvette","Thursday","Afternoon","Cyberdyne Systems",95,123
"short","Evelyn","Tuesday","Lunchtime","Mooby's Family Restaurants",8,18
"short","Evelyn","Friday","Afternoon","Mooby's Family Restaurants",7,11
"short","Jim","Tuesday","Afternoon","Weyland-Yutani",2,1
"short","Evelyn","Monday","Morning","Mooby's Family Restaurants",4,5
"short","Cindy","Tuesday","Lunchtime","OCP Inc.",7,11
"short","Tom","Friday","Afternoon","Mooby's Family Restaurants",13,1
"short","Tom","Thursday","Afternoon","Mooby's Family Restaurants",1,12
"long","Jim","Tuesday","Lunchtime","Weyland-Yutani",71,80
"short","Tom","Monday","Lunchtime","Weyland-Yutani",6,85
"short","Cindy","Wednesday","Lunchtime","OCP Inc.",6,6
"short","Yvette","Thursday","Afternoon","Mooby's Family Restaurants",7,3
"short","Evelyn","Monday","Morning","Cyberdyne Systems",13,9
"short","Tom","Monday","Morning","Cyberdyne Systems",8,7
"short","Tom","Monday","Lunchtime","OCP Inc.",6,6
"short","Cindy","Monday","Morning","Tyrell",1,1
"short","Tom","Wednesday","Morning","Mooby's Family Restaurants",1,5
"short","Evelyn","Thursday","Morning","Weyland-Yutani",9,6
"short","Tom","Wednesday","Afternoon","OCP Inc.",16,7
"short","Evelyn","Monday","Morning","OCP Inc.",5,9
"short","Tom","Monday","Lunchtime","Cyberdyne Systems",6,7
"short","Cindy","Wednesday","Afternoon","Weyland-Yutani",9,3
"short","Cindy","Tuesday","Afternoon","Tyrell",8,1
"long","Jim","Wednesday","Lunchtime","OCP Inc.",104,106
"short","Tom","Thursday","Morning","Mooby's Family Restaurants",7,6
"short","Jim","Friday","Morning","Weyland-Yutani",9,8
"long","Cindy","Monday","Afternoon","Cyberdyne Systems",81,94
"short","Cindy","Monday","Morning","Tyrell",8,8
"short","Evelyn","Tuesday","Morning","OCP Inc.",3,99
"short","Yvette","Monday","Morning","OCP Inc.",6,13
"short","Jim","Tuesday","Morning","Tyrell",12,3
"short","Yvette","Friday","Morning","Cyberdyne Systems",13,13
"short","Tom","Monday","Afternoon","Cyberdyne Systems",4,11
"long","Jim","Wednesday","Lunchtime","Cyberdyne Systems",120,111
"long","Tom","Wednesday","Afternoon","Tyrell",99,86
"long","Jim","Friday","Lunchtime","Cyberdyne Systems",76,101
"short","Jim","Friday","Afternoon","Mooby's Family Restaurants",9,13
"short","Evelyn","Thursday","Morning","OCP Inc.",6,4
"long","Jim","Wednesday","Lunchtime","Cyberdyne Systems",109,81
"short","Cindy","Monday","Afternoon","Tyrell",13,9
"short","Evelyn","Friday","Lunchtime","Cyberdyne Systems",13,13
"short","Tom","Tuesday","Lunchtime","Cyberdyne Systems",5,81
"short","Evelyn","Friday","Lunchtime","Cyberdyne Systems",2,18
"long","Evelyn","Wednesday","Lunchtime","Tyrell",77,69
"short","Tom","Wednesday","Lunchtime","OCP Inc.",14,4
"short","Yvette","Wednesday","Lunchtime","Weyland-Yutani",7,6
"short","Yvette","Tuesday","Morning","Tyrell",10,11
"short","Cindy","Thursday","Morning","Cyberdyne Systems",12,14
"long","Tom","Wednesday","Morning","Tyrell",97,80
"short","Evelyn","Monday","Afternoon","Mooby's Family Restaurants",11,7
"short","Cindy","Thursday","Afternoon","Tyrell",4,89
"short","Cindy","Wednesday","Lunchtime","OCP Inc.",8,7
"short","Cindy","Tuesday","Morning","Cyberdyne Systems",10,6
"short","Tom","Friday","Morning","Cyberdyne Systems",10,9
"short","Jim","Monday","Lunchtime","Cyberdyne Systems",4,9
"long","Cindy","Friday","Morning","OCP Inc.",113,106
"short","Tom","Tuesday","Morning","Cyberdyne Systems",6,8
"short","Evelyn","Friday","Morning","Tyrell",14,10
"short","Tom","Friday","Afternoon","Weyland-Yutani",11,3
"short","Cindy","Friday","Afternoon","Tyrell",10,17
"short","Evelyn","Monday","Morning","Mooby's Family Restaurants",3,13
"short","Evelyn","Thursday","Morning","Mooby's Family Restaurants",1,14
"long","Evelyn","Monday","Lunchtime","Tyrell",85,101
"long","Tom","Wednesday","Afternoon","OCP Inc.",94,90
"short","Evelyn","Wednesday","Morning","OCP Inc.",4,7
"long","Yvette","Friday","Afternoon","Tyrell",70,87
"long","Tom","Monday","Morning","Tyrell",81,86
"short","Evelyn","Tuesday","Afternoon","Mooby's Family Restaurants",11,1
"long","Cindy","Friday","Morning","OCP Inc.",120,93
"short","Cindy","Thursday","Morning","OCP Inc.",9,10
"short","Cindy","Monday","Afternoon","OCP Inc.",13,10
"short","Tom","Monday","Lunchtime","Cyberdyne Systems",6,3
"short","Evelyn","Wednesday","Afternoon","Cyberdyne Systems",13,8
"short","Jim","Thursday","Afternoon","OCP Inc.",6,105
"long","Tom","Tuesday","Morning","Tyrell",74,128
"short","Evelyn","Monday","Morning","Cyberdyne Systems",9,4
"short","Evelyn","Tuesday","Lunchtime","Weyland-Yutani",5,12
"short","Yvette","Thursday","Afternoon","Tyrell",10,8
"short","Yvette","Monday","Morning","Mooby's Family Restaurants",9,10
"short","Evelyn","Wednesday","Afternoon","Weyland-Yutani",2,7
"long","Yvette","Wednesday","Morning","OCP Inc.",118,105
"short","Evelyn","Thursday","Afternoon","Cyberdyne Systems",5,7
"long","Evelyn","Wednesday","Morning","Cyberdyne Systems",119,9
"short","Evelyn","Thursday","Morning","Mooby's Family Restaurants",9,106
"short","Tom","Thursday","Afternoon","OCP Inc.",9,8
"short","Evelyn","Friday","Afternoon","Cyberdyne Systems",10,3
"short","Jim","Monday","Lunchtime","Tyrell",11,5
"short","Evelyn","Friday","Lunchtime","Cyberdyne Systems",8,2
"short","Tom","Thursday","Afternoon","Mooby's Family Restaurants",3,13
"long","Yvette","Monday","Afternoon","OCP Inc.",84,84
"short","Yvette","Friday","Morning","Weyland-Yutani",3,11
"long","Tom","Wednesday","Afternoon","Cyberdyne Systems",91,108
"short","Tom","Thursday","Lunchtime","Cyberdyne Systems",4,12
"short","Tom","Wednesday","Afternoon","OCP Inc.",10,5
"short","Yvette","Monday","Morning","Mooby's Family Restaurants",13,12
"long","Cindy","Tuesday","Afternoon","Weyland-Yutani",87,118
"short","Jim","Friday","Afternoon","Tyrell",3,4
"short","Tom","Wednesday","Afternoon","Tyrell",12,5
"short","Jim","Friday","Morning","Weyland-Yutani",2,8
"short","Yvette","Friday","Lunchtime","Tyrell",12,13
"long","Yvette","Thursday","Morning","Cyberdyne Systems",88,130
